"Date";"MIT";"fruit";"late";"away";"caff";"code";"crs";"Eric";"pers";"TA";"off";"coff";"enR";"eaft";"eeve";"emor";"tire";"mood";"hung";"medi";"mel";"mw";"vac";"out";"pro";"proR";"readB";"readD";"sck";"slept";"stres";"Nat";"cell";"veg";"min";"cls";"aid";"shp";"home";"lab";"lib";"ex";"write";"jour";"yog"
2015-08-05;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-06;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-07;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-08;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-09;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-10;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-11;NA;NA;"1";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-12;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-13;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-14;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-15;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-16;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-17;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"1";NA;NA;NA;"w";NA;NA;NA;NA;"1";NA;NA;NA
2015-08-18;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"1";NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;NA
2015-08-19;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"1";NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;"1"
2015-08-20;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"1";NA;NA;"1"
2015-08-21;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015-08-22;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-23;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-24;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-25;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-26;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA
2015-08-27;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;"1";NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-28;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-08-29;NA;NA;NA;NA;"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;NA
2015-08-30;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";NA;NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-08-31;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";NA;NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-01;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"1";NA;NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-02;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";NA;NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-03;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";NA;NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-04;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";NA;NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-05;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"1";NA;NA;"1";NA;NA;"1";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-06;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"1";NA;NA;"1";NA;NA;"1";NA;"0";"0";"1";NA;"0";NA;"0";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-07;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-08;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";NA;NA;"1";NA;"0";"0";"0";NA;"1";NA;"1";NA;"m";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-09;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";NA;NA;"1";NA;"0";"0";"0";NA;"0";NA;"1";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-10;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"0";NA;"1";NA;"m";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-11;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"1";NA;"1";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-12;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"0";"0";NA;"0";NA;"0";"0";"0";NA;"0";"0";"1";NA;"m";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-13;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"0";NA;"0";"1";"0";NA;"0";"0";"0";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-14;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"0";"1";"0";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-15;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"1";"0";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-16;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"0";NA;"1";"0";"0";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-17;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"1";"1";"0";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-18;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"0";NA;"0";"0";"0";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-19;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"1";"0";"0";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-20;NA;NA;"1";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"1";NA;"0";"1";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"1"
2015-09-21;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"1";NA;"1";"0";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-22;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"1";NA;"1";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-23;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"1";NA;NA;"1";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"1";NA;"1";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-24;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"1";NA;"1";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-25;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"1";NA;NA;"1";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"1";NA;"1";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-26;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"1";NA;"1";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-27;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"0";NA;"1";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-09-28;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"1";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-29;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";NA;NA;"0";NA;"0";"0";"0";NA;"0";NA;NA;NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-09-30;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"1";NA;NA;"1";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"1";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-01;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"0";NA;"1";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-02;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-03;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"0";"1";NA;"0";NA;"0";"0";"0";NA;"1";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-04;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-05;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"1";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-06;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"0";NA;"1";"0";"1";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-07;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-08;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"1";NA;"0";"1";"1";NA;"m";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-09;NA;NA;"1";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"1";NA;"1";"0";"1";NA;"m";NA;NA;NA;NA;"1";NA;NA;"1"
2015-10-10;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-11;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-12;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"1";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-13;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"0";"0";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-14;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-15;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"0";NA;"0";"0";"0";NA;"1";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-16;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"0";"0";NA;"0";NA;"1";"0";"0";NA;"0";"0";"1";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-17;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"1";"0";NA;"1";NA;"1";"1";"0";NA;"1";"1";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-18;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"1";NA;"1";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-19;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"1";NA;"1";"0";"0";NA;"0";"1";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-20;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"1";NA;"0";"1";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-21;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"1"
2015-10-22;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"0";NA;"1";"0";"1";NA;"m";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-23;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"1";NA;"1";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-24;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;"1";"1";NA;"0";NA;"0";"1";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"0";NA;NA;"0"
2015-10-25;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"0";"0";NA;NA;"1";"1";NA;"1";NA;"0";"1";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";NA;NA;"0"
2015-10-26;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"1";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";"1";NA;"0"
2015-10-27;NA;NA;"1";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"1";NA;"0";"1";"1";NA;"w";NA;NA;NA;NA;"1";"1";NA;"0"
2015-10-28;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"1";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";"1";NA;"0"
2015-10-29;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";"1";NA;"0"
2015-10-30;NA;NA;"1";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"1";"1";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";"1";NA;"0"
2015-10-31;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"1";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"0";"1";NA;"0"
2015-11-01;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"0";"1";NA;"0"
2015-11-02;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"1";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";"0";NA;"0"
2015-11-03;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"0";NA;NA;"1";"0";NA;NA;"1";"0";NA;"0";NA;"0";"0";"0";NA;"0";"0";"0";NA;"w";NA;NA;NA;NA;"1";"0";NA;"0"
2015-11-04;NA;NA;"0";"0";"0";NA;NA;NA;NA;"0";NA;"0";NA;NA;NA;NA;"1";NA;NA;"1";"0";NA;NA;"1";"0";NA;"1";NA;"0";"0";"0";NA;"0";"0";"1";NA;"w";NA;NA;NA;NA;"1";"1";NA;"0"
